order_id,customer_id,order_placement_date,on_time,in_full,otif,customer_name
FMR32103503,789103,01-Mar-22,1,0,0,Vijay Stores
FMR34103403,789103,01-Mar-22,1,0,0,Vijay Stores
FMR32103602,789103,01-Mar-22,1,0,0,Vijay Stores
FMR33103602,789103,01-Mar-22,1,0,0,Vijay Stores
FMR33103401,789103,01-Mar-22,1,0,0,Vijay Stores
FMR34903603,789903,01-Mar-22,1,0,0,Elite Mart
FMR32903403,789903,01-Mar-22,1,0,0,Elite Mart
FMR33903601,789903,01-Mar-22,1,0,0,Elite Mart
FMR32702601,789702,01-Mar-22,1,0,0,Sorefoz Mart
FMR34702502,789702,01-Mar-22,1,0,0,Sorefoz Mart
FMR34702602,789702,01-Mar-22,1,0,0,Sorefoz Mart
FMR33702302,789702,01-Mar-22,1,0,0,Sorefoz Mart
FMR34601402,789601,01-Mar-22,1,0,0,Info Stores
FMR33601303,789601,01-Mar-22,1,0,0,Info Stores
FMR32601103,789601,01-Mar-22,1,0,0,Info Stores
FMR33301301,789301,01-Mar-22,1,0,0,Expression Stores
FMR34301602,789301,01-Mar-22,1,0,0,Expression Stores
FMR32301603,789301,01-Mar-22,1,0,0,Expression Stores
FMR33203603,789203,01-Mar-22,1,0,0,Rel Fresh
FMR34621103,789621,01-Mar-22,1,0,0,Expert Mart
FMR33101403,789101,01-Mar-22,1,0,0,Vijay Stores
FMR34102602,789102,01-Mar-22,1,0,0,Vijay Stores
FMR32102602,789102,01-Mar-22,1,0,0,Vijay Stores
FMR33902203,789902,01-Mar-22,1,0,0,Elite Mart
FMR34201202,789201,01-Mar-22,1,0,0,Rel Fresh
FMR33201602,789201,01-Mar-22,1,0,0,Rel Fresh
FMR33202502,789202,01-Mar-22,1,0,0,Rel Fresh
FMR32202603,789202,01-Mar-22,1,0,0,Rel Fresh
FMR34321602,789321,01-Mar-22,1,0,0,Chiptec Stores
FMR33321602,789321,01-Mar-22,1,0,0,Chiptec Stores
FMR32402602,789402,01-Mar-22,1,0,0,Propel Mart
FMR34402202,789402,01-Mar-22,1,0,0,Propel Mart
FMR32221603,789221,01-Mar-22,1,0,0,Atlas Stores
FMR33221503,789221,01-Mar-22,1,0,0,Atlas Stores
FMR34703602,789703,01-Mar-22,1,0,0,Sorefoz Mart
FMR33401603,789401,01-Mar-22,1,0,0,Propel Mart
FMR34622602,789622,01-Mar-22,1,0,0,Expert Mart
FMR32622502,789622,01-Mar-22,1,0,0,Expert Mart
FMR32622503,789622,01-Mar-22,1,0,0,Expert Mart
FMR34622101,789622,01-Mar-22,1,0,0,Expert Mart
FMR33320501,789320,01-Mar-22,1,0,0,Chiptec Stores
FMR34721503,789721,01-Mar-22,1,0,0,Logic Stores
FMR32721603,789721,01-Mar-22,1,0,0,Logic Stores
FMR34122402,789122,01-Mar-22,1,0,0,Coolblue
FMR33220603,789220,01-Mar-22,1,0,0,Atlas Stores
FMR32220503,789220,01-Mar-22,1,0,0,Atlas Stores
FMR34520301,789520,01-Mar-22,1,0,0,Acclaimed Stores
FMR32520603,789520,01-Mar-22,1,0,0,Acclaimed Stores
FMR32501601,789501,01-Mar-22,1,0,0,Viveks Stores
FMR33501401,789501,01-Mar-22,1,0,0,Viveks Stores
FMR32503401,789503,01-Mar-22,1,0,0,Viveks Stores
FMR33503502,789503,01-Mar-22,1,0,0,Viveks Stores
FMR33403501,789403,01-Mar-22,1,0,0,Propel Mart
FMR34421301,789421,01-Mar-22,1,0,0,Lotus Mart
FMR32421601,789421,01-Mar-22,1,0,0,Lotus Mart
FMR34303602,789303,01-Mar-22,1,0,0,Expression Stores
FMR32121102,789121,01-Mar-22,1,0,0,Coolblue
FMR34121501,789121,01-Mar-22,1,0,0,Coolblue
FMR32522303,789522,01-Mar-22,1,0,0,Acclaimed Stores
FMR33522202,789522,01-Mar-22,1,0,0,Acclaimed Stores
FMR32420403,789420,01-Mar-22,1,0,0,Lotus Mart
FMR34420303,789420,01-Mar-22,1,0,0,Lotus Mart
FMR32622402,789622,01-Mar-22,0,0,0,Expert Mart
FMR34201201,789201,01-Mar-22,0,0,0,Rel Fresh
FMR32902601,789902,01-Mar-22,0,0,0,Elite Mart
FMR32402303,789402,01-Mar-22,0,0,0,Propel Mart
FMR32203101,789203,01-Mar-22,0,0,0,Rel Fresh
FMR33320202,789320,01-Mar-22,0,0,0,Chiptec Stores
FMR34902103,789902,01-Mar-22,0,0,0,Elite Mart
FMR34721502,789721,01-Mar-22,0,0,0,Logic Stores
FMR34720402,789720,01-Mar-22,0,0,0,Logic Stores
FMR33601202,789601,01-Mar-22,0,0,0,Info Stores
FMR32903603,789903,01-Mar-22,0,0,0,Elite Mart
FMR33521201,789521,01-Mar-22,0,0,0,Acclaimed Stores
FMR34522403,789522,01-Mar-22,0,0,0,Acclaimed Stores
FMR34522601,789522,01-Mar-22,0,0,0,Acclaimed Stores
FMR34422403,789422,01-Mar-22,0,0,0,Lotus Mart
FMR33422301,789422,01-Mar-22,0,0,0,Lotus Mart
FMR32422503,789422,01-Mar-22,0,0,0,Lotus Mart
FMR32422302,789422,01-Mar-22,0,0,0,Lotus Mart
FMR32121301,789121,01-Mar-22,0,0,0,Coolblue
FMR32121603,789121,01-Mar-22,0,0,0,Coolblue
FMR32420602,789420,01-Mar-22,0,0,0,Lotus Mart
FMR33420301,789420,01-Mar-22,0,0,0,Lotus Mart
FMR34520302,789520,01-Mar-22,0,0,0,Acclaimed Stores
FMR33520502,789520,01-Mar-22,0,0,0,Acclaimed Stores
FMR34520503,789520,01-Mar-22,0,0,0,Acclaimed Stores
FMR34520602,789520,01-Mar-22,0,0,0,Acclaimed Stores
FMR33520601,789520,01-Mar-22,0,0,0,Acclaimed Stores
FMR32520302,789520,01-Mar-22,0,0,0,Acclaimed Stores
FMR32421203,789421,01-Mar-22,0,0,0,Lotus Mart
FMR33421203,789421,01-Mar-22,0,0,0,Lotus Mart
FMR32421102,789421,01-Mar-22,0,0,0,Lotus Mart
FMR33421301,789421,01-Mar-22,0,0,0,Lotus Mart
FMR34421601,789421,01-Mar-22,0,0,0,Lotus Mart
FMR32421603,789421,01-Mar-22,0,0,0,Lotus Mart
FMR34122102,789122,01-Mar-22,0,0,0,Coolblue
FMR33122402,789122,01-Mar-22,0,0,0,Coolblue
FMR33122301,789122,01-Mar-22,0,0,0,Coolblue
FMR34122601,789122,01-Mar-22,0,0,0,Coolblue
FMR34122303,789122,01-Mar-22,0,0,0,Coolblue
FMR32122401,789122,01-Mar-22,0,0,0,Coolblue
FMR34422101,789422,01-Mar-22,0,1,0,Lotus Mart
FMR32422401,789422,01-Mar-22,0,1,0,Lotus Mart
FMR32301302,789301,01-Mar-22,0,1,0,Expression Stores
FMR34301103,789301,01-Mar-22,0,1,0,Expression Stores
FMR32102202,789102,01-Mar-22,0,1,0,Vijay Stores
FMR33720503,789720,01-Mar-22,0,1,0,Logic Stores
FMR34720303,789720,01-Mar-22,0,1,0,Logic Stores
FMR34320102,789320,01-Mar-22,0,1,0,Chiptec Stores
FMR33320503,789320,01-Mar-22,0,1,0,Chiptec Stores
FMR32320202,789320,01-Mar-22,0,1,0,Chiptec Stores
FMR32603203,789603,01-Mar-22,0,1,0,Info Stores
FMR33603603,789603,01-Mar-22,0,1,0,Info Stores
FMR34603401,789603,01-Mar-22,0,1,0,Info Stores
FMR34721103,789721,01-Mar-22,0,1,0,Logic Stores
FMR33321601,789321,01-Mar-22,0,1,0,Chiptec Stores
FMR32321103,789321,01-Mar-22,0,1,0,Chiptec Stores
FMR32221402,789221,01-Mar-22,0,1,0,Atlas Stores
FMR33221402,789221,01-Mar-22,0,1,0,Atlas Stores
FMR32202402,789202,01-Mar-22,0,1,0,Rel Fresh
FMR33621102,789621,01-Mar-22,0,1,0,Expert Mart
FMR34621601,789621,01-Mar-22,0,1,0,Expert Mart
FMR33621302,789621,01-Mar-22,0,1,0,Expert Mart
FMR34902102,789902,01-Mar-22,0,1,0,Elite Mart
FMR34101201,789101,01-Mar-22,0,1,0,Vijay Stores
FMR33101202,789101,01-Mar-22,0,1,0,Vijay Stores
FMR34401402,789401,01-Mar-22,0,1,0,Propel Mart
FMR33402203,789402,01-Mar-22,0,1,0,Propel Mart
FMR32601303,789601,01-Mar-22,0,1,0,Info Stores
FMR32522301,789522,01-Mar-22,0,1,0,Acclaimed Stores
FMR33522103,789522,01-Mar-22,0,1,0,Acclaimed Stores
FMR33521502,789521,01-Mar-22,0,1,0,Acclaimed Stores
FMR32521302,789521,01-Mar-22,0,1,0,Acclaimed Stores
FMR32521202,789521,01-Mar-22,0,1,0,Acclaimed Stores
FMR34121203,789121,01-Mar-22,0,1,0,Coolblue
FMR34121303,789121,01-Mar-22,0,1,0,Coolblue
FMR33420203,789420,01-Mar-22,0,1,0,Lotus Mart
FMR34420402,789420,01-Mar-22,0,1,0,Lotus Mart
FMR32420102,789420,01-Mar-22,0,1,0,Lotus Mart
FMR33420101,789420,01-Mar-22,0,1,0,Lotus Mart
FMR34420501,789420,01-Mar-22,0,1,0,Lotus Mart
FMR33402303,789402,01-Mar-22,1,1,1,Propel Mart
FMR33622502,789622,01-Mar-22,1,1,1,Expert Mart
FMR34221301,789221,01-Mar-22,1,1,1,Atlas Stores
FMR32221303,789221,01-Mar-22,1,1,1,Atlas Stores
FMR33721603,789721,01-Mar-22,1,1,1,Logic Stores
FMR32320302,789320,01-Mar-22,1,1,1,Chiptec Stores
FMR34320602,789320,01-Mar-22,1,1,1,Chiptec Stores
FMR34503502,789503,01-Mar-22,1,1,1,Viveks Stores
FMR34501203,789501,01-Mar-22,1,1,1,Viveks Stores
FMR32501201,789501,01-Mar-22,1,1,1,Viveks Stores
FMR34401102,789401,01-Mar-22,1,1,1,Propel Mart
FMR34401503,789401,01-Mar-22,1,1,1,Propel Mart
FMR32401103,789401,01-Mar-22,1,1,1,Propel Mart
FMR32720302,789720,01-Mar-22,1,1,1,Logic Stores
FMR33720202,789720,01-Mar-22,1,1,1,Logic Stores
FMR33720501,789720,01-Mar-22,1,1,1,Logic Stores
FMR32902402,789902,01-Mar-22,1,1,1,Elite Mart
FMR34902202,789902,01-Mar-22,1,1,1,Elite Mart
FMR34220601,789220,01-Mar-22,1,1,1,Atlas Stores
FMR32220602,789220,01-Mar-22,1,1,1,Atlas Stores
FMR33621603,789621,01-Mar-22,1,1,1,Expert Mart
FMR32621103,789621,01-Mar-22,1,1,1,Expert Mart
FMR34101301,789101,01-Mar-22,1,1,1,Vijay Stores
FMR32101601,789101,01-Mar-22,1,1,1,Vijay Stores
FMR32321201,789321,01-Mar-22,1,1,1,Chiptec Stores
FMR32203402,789203,01-Mar-22,1,1,1,Rel Fresh
FMR34203601,789203,01-Mar-22,1,1,1,Rel Fresh
FMR32102102,789102,01-Mar-22,1,1,1,Vijay Stores
FMR33102601,789102,01-Mar-22,1,1,1,Vijay Stores
FMR32201502,789201,01-Mar-22,1,1,1,Rel Fresh
FMR33420603,789420,01-Mar-22,1,1,1,Lotus Mart
FMR32121403,789121,01-Mar-22,1,1,1,Coolblue
FMR33121302,789121,01-Mar-22,1,1,1,Coolblue
FMR32422301,789422,01-Mar-22,1,1,1,Lotus Mart
FMR33521202,789521,01-Mar-22,1,1,1,Acclaimed Stores
FMR34122103,789122,01-Mar-22,1,1,1,Coolblue
FMR32403401,789403,01-Mar-22,1,1,1,Propel Mart
FMR34202301,789202,01-Mar-22,1,1,1,Rel Fresh
FMR33303501,789303,01-Mar-22,1,1,1,Expression Stores
FMR32303603,789303,01-Mar-22,1,1,1,Expression Stores
FMR33703603,789703,01-Mar-22,1,1,1,Sorefoz Mart
FMR33703303,789703,01-Mar-22,1,1,1,Sorefoz Mart
FMR32703401,789703,01-Mar-22,1,1,1,Sorefoz Mart
FMR34603302,789603,01-Mar-22,1,1,1,Info Stores
FMR33103301,789103,02-Mar-22,1,0,0,Vijay Stores
FMR35103601,789103,02-Mar-22,1,0,0,Vijay Stores
FMR33903503,789903,02-Mar-22,1,0,0,Elite Mart
FMR34903403,789903,02-Mar-22,1,0,0,Elite Mart
FMR35903601,789903,02-Mar-22,1,0,0,Elite Mart
FMR35903202,789903,02-Mar-22,1,0,0,Elite Mart
FMR33702602,789702,02-Mar-22,1,0,0,Sorefoz Mart
FMR34702601,789702,02-Mar-22,1,0,0,Sorefoz Mart
FMR33601203,789601,02-Mar-22,1,0,0,Info Stores
FMR34601501,789601,02-Mar-22,1,0,0,Info Stores
FMR35601601,789601,02-Mar-22,1,0,0,Info Stores
FMR33601601,789601,02-Mar-22,1,0,0,Info Stores
FMR33301502,789301,02-Mar-22,1,0,0,Expression Stores
FMR34301101,789301,02-Mar-22,1,0,0,Expression Stores
FMR33101501,789101,02-Mar-22,1,0,0,Vijay Stores
FMR33102403,789102,02-Mar-22,1,0,0,Vijay Stores
FMR34102403,789102,02-Mar-22,1,0,0,Vijay Stores
FMR35902601,789902,02-Mar-22,1,0,0,Elite Mart
FMR33902503,789902,02-Mar-22,1,0,0,Elite Mart
FMR34902602,789902,02-Mar-22,1,0,0,Elite Mart
FMR35201303,789201,02-Mar-22,1,0,0,Rel Fresh
FMR34202502,789202,02-Mar-22,1,0,0,Rel Fresh
FMR33202403,789202,02-Mar-22,1,0,0,Rel Fresh
FMR35321603,789321,02-Mar-22,1,0,0,Chiptec Stores
FMR33321303,789321,02-Mar-22,1,0,0,Chiptec Stores
FMR33402602,789402,02-Mar-22,1,0,0,Propel Mart
FMR34720601,789720,02-Mar-22,1,0,0,Logic Stores
FMR35720302,789720,02-Mar-22,1,0,0,Logic Stores
FMR35221203,789221,02-Mar-22,1,0,0,Atlas Stores
FMR33703601,789703,02-Mar-22,1,0,0,Sorefoz Mart
FMR35401203,789401,02-Mar-22,1,0,0,Propel Mart
FMR33401301,789401,02-Mar-22,1,0,0,Propel Mart
FMR35622603,789622,02-Mar-22,1,0,0,Expert Mart
FMR34320402,789320,02-Mar-22,1,0,0,Chiptec Stores
FMR35320402,789320,02-Mar-22,1,0,0,Chiptec Stores
FMR35320601,789320,02-Mar-22,1,0,0,Chiptec Stores
FMR34721601,789721,02-Mar-22,1,0,0,Logic Stores
FMR33721102,789721,02-Mar-22,1,0,0,Logic Stores
FMR33122503,789122,02-Mar-22,1,0,0,Coolblue
FMR35122602,789122,02-Mar-22,1,0,0,Coolblue
FMR33220402,789220,02-Mar-22,1,0,0,Atlas Stores
FMR35220201,789220,02-Mar-22,1,0,0,Atlas Stores
FMR34220501,789220,02-Mar-22,1,0,0,Atlas Stores
FMR33220101,789220,02-Mar-22,1,0,0,Atlas Stores
FMR33520203,789520,02-Mar-22,1,0,0,Acclaimed Stores
FMR35520502,789520,02-Mar-22,1,0,0,Acclaimed Stores
FMR33520303,789520,02-Mar-22,1,0,0,Acclaimed Stores
FMR33501602,789501,02-Mar-22,1,0,0,Viveks Stores
FMR34501403,789501,02-Mar-22,1,0,0,Viveks Stores
FMR35501601,789501,02-Mar-22,1,0,0,Viveks Stores
FMR33503603,789503,02-Mar-22,1,0,0,Viveks Stores
FMR35503502,789503,02-Mar-22,1,0,0,Viveks Stores
FMR34503602,789503,02-Mar-22,1,0,0,Viveks Stores
FMR33403103,789403,02-Mar-22,1,0,0,Propel Mart
FMR35303601,789303,02-Mar-22,1,0,0,Expression Stores
FMR33303403,789303,02-Mar-22,1,0,0,Expression Stores
FMR34303303,789303,02-Mar-22,1,0,0,Expression Stores
FMR35121602,789121,02-Mar-22,1,0,0,Coolblue
FMR35422501,789422,02-Mar-22,1,0,0,Lotus Mart
FMR33203502,789203,02-Mar-22,0,0,0,Rel Fresh
FMR34101302,789101,02-Mar-22,0,0,0,Vijay Stores
FMR35603402,789603,02-Mar-22,0,0,0,Info Stores
FMR33301202,789301,02-Mar-22,0,0,0,Expression Stores
FMR34503301,789503,02-Mar-22,0,0,0,Viveks Stores
FMR35903201,789903,02-Mar-22,0,0,0,Elite Mart
FMR33903303,789903,02-Mar-22,0,0,0,Elite Mart
FMR34702403,789702,02-Mar-22,0,0,0,Sorefoz Mart
FMR34521301,789521,02-Mar-22,0,0,0,Acclaimed Stores
FMR34521603,789521,02-Mar-22,0,0,0,Acclaimed Stores
FMR35522602,789522,02-Mar-22,0,0,0,Acclaimed Stores
